"","ensemblID","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"941","ENSG00000232618",-2.35431851247412,-0.92552503673924,-6.21673219605132,3.10896772248995e-07,2.76520659799477e-06,6.36687278694813,"AL355304.1"
"944","ENSG00000232645",-1.88637775252853,-1.77075951512164,-6.22269310416539,3.05162508515051e-07,2.7199548163619e-06,6.38530641203389,"LINC01431"
"946","ENSG00000232677",-2.48408296009301,0.195874356526333,-6.26477681548624,2.67587339187264e-07,2.41859696100483e-06,6.51542954889168,"LINC00665"
"948","ENSG00000232710",-2.34906561412678,-0.256439017859315,-9.49044601115524,1.74636494805573e-11,5.33352137892399e-10,16.0932517061655,"AC254562.2"
"955","ENSG00000232774",-2.55686605041348,-0.927990126797268,-9.42328269905518,2.1091034440935e-11,6.33785584950097e-10,15.905587522241,"AL355916.1"
"960","ENSG00000232855",-2.84102821537183,-0.495931034269854,-10.8772670614702,4.04144504099732e-13,2.39469849119377e-11,19.8341156256572,"AF165147.1"
"965","ENSG00000232931",-3.15862046732178,1.89904799408693,-11.7521362339866,4.26922969684877e-14,4.85422954990345e-12,22.0614504489394,"LINC00342"
"966","ENSG00000232956",-2.77917597283892,1.81941702980103,-9.99049401552001,4.36370990206709e-12,1.65388536558525e-10,17.4717593121349,"SNHG15"
"992","ENSG00000233387",-2.4392376902106,-0.0515637225299393,-6.02637454440319,5.63671770427155e-07,4.61355474355455e-06,5.77800697161621,"IATPR"
"1026","ENSG00000233806",-3.02588205549176,1.36157575733073,-9.52755119025182,1.57384368517848e-11,4.94116446533272e-10,16.1966759112516,"LINC01237"
"1030","ENSG00000233852",-1.8383009206753,-1.86157512756866,-5.6058749370351,2.1013087800641e-06,1.46847276374247e-05,4.4781450098209,"AC005304.1"
"1036","ENSG00000233967",-1.93717619402233,-1.77703386119523,-5.90232810757963,8.30963550616211e-07,6.53432459335028e-06,5.39424015199793,"AL359715.1"
"1037","ENSG00000233975",-1.66686664987638,-2.73213945585624,-4.94092534936369,1.66733522192192e-05,9.60887572414457e-05,2.44097528912545,"LINC02574"
"1065","ENSG00000234323",-1.63314382214377,-2.26450910231225,-6.61518820786712,8.98546184438505e-08,8.97905890245318e-07,7.59703934277213,"LINC01505"
"1077","ENSG00000234492",-1.83331465761371,-0.934774981627632,-5.56632843788633,2.37798103869952e-06,1.62934303417083e-05,4.35615148267507,"RPL34-AS1"
"1085","ENSG00000234608",-2.63252355737418,1.04822737889617,-8.99803411401456,7.0606353590824e-11,1.65022738642554e-09,14.703843740093,"MAPKAPK5-AS1"
"1086","ENSG00000234622",-3.22987436276934,-1.38692269612314,-9.7529622600731,8.39836202855594e-12,2.87251293123048e-10,16.8210754225746,"AL683807.2"
"1087","ENSG00000234622",-3.22987436276934,-1.38692269612314,-9.7529622600731,8.39836202855594e-12,2.87251293123048e-10,16.8210754225746,"AL683807.2"
"1090","ENSG00000234663",-3.28579872028148,1.73383961536816,-9.84721433784423,6.47125552247589e-12,2.28777915824001e-10,17.0801643517441,"LINC01934"
"1091","ENSG00000234665",-3.03838385634479,-0.894959309981555,-6.28903733035737,2.48073417617476e-07,2.25897157557732e-06,6.59042792251211,"LERFS"
"1098","ENSG00000234741",-2.56041864444156,3.87237361491495,-7.93865419283863,1.57679118121112e-09,2.58115194527439e-08,11.6138519668715,"GAS5"
"1102","ENSG00000234807",-1.92162437320076,-1.98629139465938,-7.98247668964656,1.38313190870906e-09,2.29088029131457e-08,11.7441973815952,"LINC01135"
"1106","ENSG00000234883",-2.19892248664093,-0.895189111127164,-6.07619956133059,4.82339797346411e-07,4.03420184380984e-06,5.93216256204037,"MIR155HG"
"1108","ENSG00000234902",-1.605600359352,-0.654126009489988,-3.31479133092404,0.00205089521262114,0.0071071797030454,-2.21090460536794,"AC007879.3"
"1109","ENSG00000234912",-2.17872432826671,1.79776133096446,-8.77115813498281,1.3577943368487e-10,2.91440855873596e-09,14.0533249132432,"SNHG20"
